Ticker,Book Value,Close
MENONBE.NS,16.963,48.45
MEP.NS,10.605,19.15
MERCATOR.NS,-39.747,1.0
METALFORGE.NS,-259.27,5.65
METKORE.NS,0.557,0.65
MFSL.NS,79.699,695.5
MHRIL.NS,4.186,204.15
MIC.NS,-6.037,1.05
MINDACORP.NS,42.659,92.45
MINDAIND.NS,76.912,402.8
MINDTREE.NS,224.175,1608.8
MIRCELECTR.NS,9.609,12.15
MIRZAINT.NS,51.52,55.85
MMFL.NS,187.953,401.7
MMTC.NS,5.088,23.2
MOHITIND.NS,23.554,6.65
MOIL.NS,114.401,141.55
MOLDTKPAC.NS,71.137,281.15
MONTECARLO.NS,257.867,244.45
MORARJEE.NS,6.112,12.95
MOREPENLAB.NS,7.31,29.85
MOTHERSUMI.NS,34.711,160.65
MOTILALOFS.NS,236.29,603.1
MOTOGENFIN.NS,20.709,20.35
MPHASIS.NS,312.196,1560.55
MPSLTD.NS,211.046,369.05
MRF.NS,29653.93,75366.7
MRO-TEK.NS,-3.245,35.7
MRPL.NS,38.998,34.35
MSPL.NS,15.381,8.4
MTEDUCARE.NS,23.926,10.75
MTNL.NS,-235.033,13.8
MUKANDENGG.NS,-24.241,12.25
MUKANDLTD.NS,32.794,64.65
MUKTAARTS.NS,1.796,31.25
MUNJALAU.NS,28.442,59.25
MUNJALSHOW.NS,154.604,141.55
MURUDCERA.NS,62.861,20.95
MUTHOOTCAP.NS,326.34,408.7
MUTHOOTFIN.NS,334.91,1218.1
MVL.NS,2.553,0.05
NAGAROIL.NS,-0.62,0.2
NAGREEKCAP.NS,17.343,5.7
